microbatches,tp2pp4_batch_time_ms,tp4pp2_batch_time_ms,tp2pp4_throughput_mb_s,tp4pp2_throughput_mb_s
1,248.20,230.78,4.03,4.33
2,310.41,346.33,6.44,5.77
4,434.83,577.44,9.20,6.93
8,683.66,1039.64,11.70,7.69
